# Dlat (m),Dlon (m),DAlt (m)
-84406.19242,57176.76282,76.96969697
-80737.14955,18924.16308,46.06060606
-80620.5839,21388.19536,52.75757576
-80071.06008,49257.85375,76.66666667
-79919.96878,51597.70081,106.969697
-79346.1327,14832.03055,52.21212121
-78735.77271,26615.32704,43.63636364
-78289.93682,19015.59044,12.45454545
-77864.08361,21215.13334,27.90909091
-76995.94699,39009.23695,70.60606061
-76669.11909,11384.8292,43.03030303
-76619.49542,18882.99911,64.54545455
-75955.51523,15429.73148,38.51515152
-75689.07944,50134.08314,61.51515152
-75689.07944,50134.08314,61.51515152
-75102.58765,7963.712811,51.21212121
-74964.37409,54464.79341,58.48484848
-74787.97139,17551.97277,37.27272727
-74760.55071,25175.97445,44.87878788
-74757.44229,15357.80285,60
-74725.13695,20401.21321,49.72727273
-74227.34608,42852.2191,80.3030303
-74227.34608,42852.2191,80.3030303
-74073.14637,30163.57512,70
-74054.71789,22130.62017,30.93939394
-73923.60928,45237.04322,52.72727273
-73856.44526,10832.88528,81.21212121
-72956.0033,12561.25231,40.03030303
-72373.73008,34409.96424,53.66666667
-72325.66062,37743.98632,53.36363636
-71813.77086,22310.18177,33.03030303
-71649.35778,20424.52502,41.84848485
-71446.75556,18335.30157,44.24242424
-71162.11332,23979.35933,70.90909091
-70406.3238,21725.6533,20.90909091
-70366.58046,41790.62182,61.54545455
-69344.91022,6154.404404,53.33333333
-68417.60265,28175.22508,53.06060606
-68408.38841,20671.76886,58.51515152
-67875.18378,55057.20803,60.3030303
-66964.52845,24343.59552,40.33333333
-66962.97425,18261.63972,67.27272727
-65448.61982,16947.2523,53.66666667
-65167.30803,21380.48253,54.87878788
-63175.25644,15416.73233,55.45454545
-62777.37899,27479.51056,58.48484848
-61633.70336,24496.63885,58.18181818
-60462.16298,15764.32961,67.57575758
-60122.34633,12595.4834,55.45454545
-59500.99587,25871.16901,88.39393939
-58009.95457,9831.950699,49.42424242
-57671.02604,25319.74506,45.3030303
-56138.46517,28643.1945,34.03030303
-55824.84804,16429.71279,53.96969697
-55781.99629,4559.581977,55.45454545
-55150.43245,10664.58961,51.24242424
-53530.50284,18763.06028,55.45454545
-53434.03088,22463.48508,72.42424242
-53190.0201,27421.70767,50.90909091
-52906.71005,1872.397617,55.78787879
-52523.93063,10833.31858,50.93939394
-52062.33062,-2580.331345,39.42424242
-51196.4143,-78395.18928,38.18181818
-51090.06201,31690.02202,49.39393939
-49742.45199,18303.06368,71.81818182
-49552.17242,902.7476614,37.60606061
-48540.38251,29916.59126,67.27272727
-48055.58038,35426.06449,58.42424242
-46251.36602,23310.59638,30.90909091
-45565.51589,35668.71529,57.57575758
-43698.5781,32948.07979,46.36363636
-42961.21705,-76961.46966,56.66666667
-42957.99762,-3634.302455,52.45454545
-42835.7702,-6598.715363,39.6969697
-41875.15816,34459.53433,47.27272727
-40217.37247,34804.53178,42.45454545
-38619.3128,-66181.79424,51.84848485
-38458.67422,52.25658442,23.33333333
-38332.56128,32695.98293,49.39393939
-38183.02419,6467.337283,25.45454545
-38003.84612,36989.08233,69.03030303
-37219.30373,30568.02202,45.45454545
-36973.29468,35166.77477,37.87878788
-36836.96837,-7394.263364,54.84848485
-36476.50295,37222.63373,40.3030303
-36432.9851,-74835.84859,55.18181818
-35927.5342,32378.02371,30.60606061
-35497.68446,3781.279515,66.66666667
-35206.27032,24256.15457,44.24242424
-35085.04203,29330.15626,37
-34729.46127,31307.50035,55.15151515
-34708.25742,38473.41197,42.42424242
-34069.25558,36202.63373,34.27272727
-33511.73869,39636.14264,23.63636364
-33372.08193,-7152.132524,40.33333333
-33154.38168,29133.52245,37.57575758
-32821.33694,42217.68724,32.84848485
-32509.8291,38648.20722,40.33333333
-32378.72049,24838.25653,95.75757576
-32253.60668,7261.932014,54.57575758
-32239.95185,14851.09597,52.12121212
-32119.16762,-957.6040759,42.15151515
-31934.10576,34258.82745,34.15151515
-31698.19907,31370.5029,35.48484848
-31614.60484,37013.17408,33.93939394
-31545.22052,-64254.54021,76.06060606
-30851.37732,33384.50459,30.93939394
-30718.82551,40429.7841,46.06060606
-30378.67582,38105.53602,25.15151515
-30022.42896,-5936.278661,49.42424242
-29959.92757,-81332.04399,55.75757576
-29759.43463,31670.26331,55.18181818
-29503.76729,41867.66345,52.72727273
-29315.70803,50726.32443,32.45454545
-29208.13458,34966.76118,25.45454545
-28791.49561,21061.74337,47
-28470.99556,36783.52243,30
-28391.50888,50136.24967,28.42424242
-27464.20131,12335.9337,37.60606061
-27257.9356,42841.5598,51.81818182
-26532.34213,48735.54789,37.27272727
-26465.40014,29037.24207,58.21212121
-26187.52981,22445.19961,41.54545455
-26154.89143,38999.61758,45.15151515
-26105.48979,-6342.372118,37.27272727
-26096.05353,-9733.677122,34.24242424
-25886.56839,45192.06616,38.18181818
-25299.41051,49765.0806,30.45454545
-25134.10931,37233.63967,47.87878788
-24781.08188,21462.29052,32.72727273
-24532.18645,40166.6813,39.12121212
-24121.76432,53311.42213,25.75757576
-23968.45272,26126.64565,29.42424242
-23783.16883,46134.85121,46.96969697
-23632.29957,11745.68561,56.36363636
-23521.28465,24446.37547,33.33333333
-23217.99191,57696.98882,18.21212121
-23217.99191,57696.98882,18.21212121
-23116.85733,44274.84612,41.81818182
-22986.85886,-10037.77058,46.09090909
-22845.98094,48518.89538,38.51515152
-22792.58277,41241.01775,37.57575758
-22625.50532,33803.33722,41.54545455
-22580.21124,16435.25909,30.90909091
-22438.88925,3217.029729,61.21212121
-22295.23596,19714.68475,40.60606061
-22234.5108,54706.49095,43.36363636
-22154.58006,-4086.066261,52.42424242
-21655.67904,22575.8844,49.09090909
-21597.06317,13474.13931,45.15151515
-21463.84527,38639.54112,39.12121212
-21419.77235,24300.69833,40.03030303
-20985.59303,-1161.517414,34.84848485
-20764.78437,49413.41025,52.42424242
-20749.68634,55485.92001,36.96969697
-20739.80601,61261.61583,34.24242424
-20705.83545,47274.27007,48.48484848
-20676.86056,8165.199641,42.15151515
-20608.14233,62825.58694,35.81818182
-20602.59158,42464.84442,27.3030303
-20389.44295,44855.9948,46.36363636
-20329.05083,20201.63292,16.06060606
-20230.02553,16513.254,34.27272727
-20143.98898,1407.288017,52.75757576
-19726.79493,29436.83595,40.03030303
-19665.73673,50813.41874,33.51515152
-19379.87333,39559.10101,40.03030303
-19324.36587,56639.0313,23.63636364
-19243.88006,46824.4128,39.12121212
-19169.27804,55078.61329,30.93939394
-19148.51825,66384.7543,29.72727273
-19133.75327,24407.37802,67.87878788
-19132.5321,-8287.91162,49.6969697
-19117.98915,21847.75866,30.93939394
-18830.90459,11009.06709,33.18181818
-18803.15086,44842.99565,49.42424242
-18756.96865,27804.48931,43.36363636
-18726.43955,50677.18765,30.90909091
-18695.24436,48823.59547,40.96969697
-18665.38135,60964.36859,42.15151515
-18584.22945,34024.84274,47.24242424
-18472.88149,18360.3466,24.24242424
-18417.70708,41727.53261,23.93939394
-18355.42771,20110.63887,28.27272727
-18274.05378,52481.20973,33.63636364
