# Dlat (m),Dlon (m),DAlt (m)
-23435.35911,11345.00847,56.36363636
-23324.3442,24045.69833,33.33333333
-22789.91841,-10438.44772,46.09090909
-22383.27078,16034.58195,30.90909091
-22241.9488,2816.352585,61.21212121
-22098.2955,19314.0076,40.60606061
-21957.63961,-4486.743405,52.42424242
-21458.73859,22175.20725,49.09090909
-21400.12271,13073.46216,45.15151515
-21222.8319,23900.02118,40.03030303
-20788.65257,-1562.194559,34.84848485
-20479.9201,7764.522497,42.15151515
-20132.11038,19800.95577,16.06060606
-20033.08508,16112.57685,34.27272727
-19947.04852,1006.610873,52.75757576
-18936.81281,24006.70088,67.87878788
-18935.59165,-8688.588765,49.6969697
-18921.0487,21447.08151,30.93939394
-18633.96413,10608.38995,33.18181818
-18275.94104,17959.66946,24.24242424
-18158.48726,19709.96172,28.27272727
-17662.58364,4673.844509,41.81818182
-17227.84925,13066.18264,40.03030303
-17200.09552,15678.05859,40.93939394
-16876.26502,10378.47831,43.33333333
-16814.54072,20721.29562,27.87878788
-16036.88126,22162.03478,49.09090909
-15978.93148,17378.78076,41.84848485
-15892.56187,8290.814764,36.09090909
-15525.54657,19199.87506,43.06060606
-14824.37638,6447.968549,47.27272727
-14282.51259,23373.29561,27.93939394
-14004.64227,19212.61423,36.66666667
-13699.6843,12902.99997,36.72727273
-13173.25158,-1492.865757,23.06060606
-12870.51392,4411.434994,40.33333333
-12807.23542,-8245.404399,23.63636364
-12806.56933,21612.08406,39.6969697
-12638.60376,10392.25741,41.54545455
-12205.6456,24659.77819,46.66666667
-11112.70379,24377.86995,35.15151515
-10628.56775,7267.175004,34.27272727
-10178.40228,12799.00677,39.09090909
-9847.133782,17968.85552,46.66666667
-9802.172742,22594.81983,33.33333333
-8815.139152,-9850.366162,90.87878788
-8001.510856,21628.28967,28.48484848
-7923.578387,23757.29051,26.66666667
-7894.49248,15351.86657,37.66666667
-7408.247162,6924.864045,40.33333333
-6694.088228,17626.97787,50.3030303
-6638.247727,22526.70428,34.54545455
-5850.37489,-17762.51568,32.72727273
-4929.728218,22551.74931,21.78787879
-4823.153902,24976.78414,25.18181818
-4782.744474,-21304.95747,19.6969697
-4586.581123,14888.49019,49.6969697
-4466.907047,3797.615114,45.75757576
-3995.759757,7817.905674,50
-3054.908371,19686.64991,43.63636364
-2185.328559,17028.75697,40.24242424
-2018.473145,24821.57428,25.15151515
-1131.575006,13837.72554,41.75757576
549.0797588,14213.22766,50.33333333
642.5543154,18788.2353,35.45454545
687.5153551,7934.464722,42.45454545
893.7810631,11635.06284,43.33333333
2532.583206,-2820.945618,40.03030303
3323.56446,-10079.49785,22.15151515
3737.31704,13298.00082,52.45454545
4493.439611,23170.68219,45.48484848
5149.759776,16306.61084,44.84848485
5762.118035,20436.96087,30.3030303
6821.422333,-20118.65501,22.72727273
6868.714686,15755.88017,50.63636364
7142.699491,18970.91669,31.21212121
7840.539232,24712.46808,37.57575758
8848.332611,22381.20046,37.57575758
8948.579077,17995.28713,39.6969697
9268.413041,-22883.40097,28.51515152
10159.86279,16488.59894,47.57575758
10467.04105,10451.18689,47.27272727
10773.55323,19807.71533,44.12121212
12204.42444,-2160.155475,30
12523.25927,13226.07219,37.87878788
12587.09284,23311.93962,28.18181818
12954.10815,-14985.46386,23.66666667
13264.9499,17646.47659,51.81818182
14691.2695,-3002.413757,17.87878788
14937.83362,20828.84192,39.12121212
16229.93619,17402.17923,46.39393939
16339.3969,20057.38568,24.63636364
16622.81797,-7942.09089,18.78787879
18274.71987,13499.48765,43.63636364
18330.0053,18161.15629,40.27272727
18352.20828,-10040.5004,26.09090909
19597.68459,-13923.86658,24.57575758
20292.19388,-17243.50293,33.03030303
20423.85757,7863.142717,39.39393939
21204.29241,-22999.00674,42.57575758
21530.56524,926.1894626,43.63636364
21938.212,-3944.158869,46.66666667
23353.09706,19890.12994,49.09090909
23435.35911,-24976.78414,75.75757576
